City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Sabang,ID,5.8933,95.3214,82.04,71,88,9.1,overcast clouds
298,Calderitas,MX,18.55,-88.25,77.32,77,55,5.44,broken clouds
299,Grand-Santi,GF,4.25,-54.3833,72.12,99,56,2.39,broken clouds
300,Sorong,ID,-0.8833,131.25,83.32,72,37,3.33,scattered clouds
301,Kaspiysk,RU,42.8816,47.6392,33.98,86,0,6.71,clear sky
302,Waipawa,NZ,-41.4122,175.5153,62.29,64,85,6.38,overcast clouds
303,Berezovyy,RU,51.6667,135.7,27.68,96,100,19.01,snow
304,Kiszombor,HU,46.1833,20.4333,43.29,84,100,10.18,overcast clouds
305,Lagos,NG,6.5833,3.75,77.49,92,75,2.51,broken clouds
306,Broken Hill,AU,-31.95,141.4333,79.16,40,100,10.33,light rain
307,Batken,KG,39.8333,71.0,27.63,46,0,10.04,clear sky
308,Verkhoyansk,RU,67.5447,133.385,-29.33,100,81,1.63,broken clouds
309,Plettenberg Bay,ZA,-34.0527,23.3716,60.78,83,99,8.21,light rain
310,Paka,MY,4.6374,103.4368,82.8,78,100,2.82,overcast clouds
311,Wanning,CN,18.8003,110.3967,69.91,79,88,16.28,overcast clouds
312,Ledyard,US,41.4398,-72.0142,40.5,52,1,5.99,clear sky
313,Dakoro,NE,14.5106,6.765,77.32,19,0,8.19,clear sky
314,Port Macquarie,AU,-31.4333,152.9167,75.88,78,55,4.36,broken clouds
315,Santo Domingo,DO,18.5001,-69.9886,73.08,87,16,0.96,few clouds
316,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,51,0,6.71,clear sky
317,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.17,98,99,0.72,overcast clouds
318,Skibbereen,IE,51.55,-9.2667,37.2,77,2,4.65,clear sky
319,Salalah,OM,17.0151,54.0924,82.49,16,0,10.36,clear sky
320,Cayhagan,PH,9.6697,122.4256,84.56,72,100,11.56,overcast clouds
321,Tazovskiy,RU,67.4667,78.7,14.29,93,100,16.46,light snow
322,Port-Gentil,GA,-0.7193,8.7815,79.36,86,97,7.54,light rain
323,Gryazovets,RU,58.88,40.2525,15.15,89,12,9.6,few clouds
324,Vallenar,CL,-28.5708,-70.7581,64.94,53,56,2.19,broken clouds
325,Pindiga,NG,9.9833,10.9333,73.56,26,8,6.04,clear sky
326,Ahuimanu,US,21.4447,-157.8378,82.11,74,90,12.66,mist
327,Wuda,CN,39.4994,106.7117,32.92,24,0,8.52,clear sky
328,Ponta Delgada,PT,37.7333,-25.6667,68.5,88,40,14.97,scattered clouds
329,Zhigansk,RU,66.7697,123.3711,-21.17,96,100,8.16,overcast clouds
330,Arraial Do Cabo,BR,-22.9661,-42.0278,70.03,72,10,15.7,clear sky
331,Shimanovsk,RU,52.0,127.7,20.03,90,100,18.19,snow
332,Muyezerskiy,RU,63.9333,31.65,13.03,86,15,4.52,few clouds
333,Sechura,PE,-5.5569,-80.8222,67.28,73,53,10.65,broken clouds
