City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,El Tarra,CO,2021-11-22 00:50:59,8.5756,-73.0949,74.03,97,80,2.39
271,Lavrentiya,RU,2021-11-22 00:51:00,65.5833,-171.0,-0.06,89,11,8.41
272,Orlik,RU,2021-11-22 00:51:01,52.5178,99.825,-6.61,95,61,2.59
273,Zyryanka,RU,2021-11-22 00:51:01,65.75,150.85,-11.49,99,100,4.36
274,Brewster,US,2021-11-22 00:52:02,41.3973,-73.6171,52.74,83,90,4.61
275,Atasu,KZ,2021-11-22 00:52:03,48.6814,71.6433,32.68,97,100,24.74
276,Sabha,LY,2021-11-22 00:52:03,27.0377,14.4283,62.24,50,4,10.92
277,Aswan,EG,2021-11-22 00:52:04,24.0934,32.907,60.1,47,0,5.75
278,Krasnomayskiy,RU,2021-11-22 00:52:05,57.6194,34.4099,27.82,82,100,12.62
279,Bolshoye Murashkino,RU,2021-11-22 00:52:05,55.7826,44.7754,25.54,95,94,8.7
280,Paramonga,PE,2021-11-22 00:52:06,-10.6667,-77.8333,65.57,84,100,7.76
281,Dunedin,NZ,2021-11-22 00:51:54,-45.8742,170.5036,52.23,83,100,4.74
282,Mahebourg,MU,2021-11-22 00:52:07,-20.4081,57.7,73.69,88,75,3.44
283,Tarsus,TR,2021-11-22 00:52:08,36.9188,34.8784,53.47,56,84,4.56
284,Sao Filipe,CV,2021-11-22 00:52:08,14.8961,-24.4956,81.97,64,100,12.06
285,Pisco,PE,2021-11-22 00:47:16,-13.7,-76.2167,64.45,88,0,14.97
286,Awjilah,LY,2021-11-22 00:52:09,29.1081,21.2869,62.08,57,5,6.51
287,Coihaique,CL,2021-11-22 00:49:05,-45.5752,-72.0662,55.35,62,75,3.44
288,Saldanha,ZA,2021-11-22 00:52:11,-33.0117,17.9442,60.85,88,0,13.06
289,Shitanjing,CN,2021-11-22 00:52:11,39.2342,106.3439,19.4,15,0,2.3
290,Eureka,US,2021-11-22 00:52:12,40.8021,-124.1637,58.35,65,13,1.86
291,Bako,ET,2021-11-22 00:52:13,5.7833,36.5667,65.61,59,90,4.16
292,Pochutla,MX,2021-11-22 00:52:13,15.7432,-96.4661,75.42,84,6,4.05
293,Sola,VU,2021-11-22 00:52:14,-13.8833,167.55,88.47,74,20,2.3
